ke,Date,Plot,Plot_Full_Name,Site,Initials,Latitude,Longitude,Modified Latitude,Modified Longitude,UTM X,UTM Y,Elevation (m),Slope,Aspect,Temp,Amynthas,Rain in last 24 (in/hr),Invasion Mechanism,soil collected,eDNA collected,live worms collected,soil moisture,drainage,litter depth (cm),Picture,worm castings,litter cover #1,litter cover #2,litter cover #3,litter cover #4,Open Sky,Crown Density,dom overstory #1,dom overstory #2,dom overstory #3,dom overstory #4,dom understory #1,dom understory #2,dom understory #3,dom understory #4,dom herbs #1,dom herbs #2,dom herbs #3,dom herbs #4,Overstory % cover,Understory % Cover,Herbaceous Layer % Cover,Moss?,Dom Moss % Cover,Location Notes,Fall
1,8/8/24,1,1. Sugar Bush,Colby Arboretum,RW,44.56431,-69.66093,,,,,71,4,108,72,"Possibly, sited many worms, unsure though",0,"nearby college, ~100 ft away. possibly mulch/landscapping, active sugar bush, possible by humans",Y,Y,N,Mesic,Well,1.2,Y,N,100,75,75,100,2,97.92,ACESAC,QUERUB,FRAAME,NA,NA,NA,NA,NA,FRAAME,ONSE,PINSTR,MAICAN,85,0,50,Y,3,"cool, breezy, no rain currently, not dry or humid sugar bush with spaced out trees ~5 m on average for tapping slightly slopped, mostly trees and understory, ~10 % fallen deadwood, E or hill house",N
2,8/11/24,1,1 Balsam Fir,Little Moose,RW,45.47288,-69.68137,,,,,423,3,210,75,N,0,"north road about 2000 ft away, stream about 30 ft south, hiking trail ~30 ft north",Y,Y,N,Mesic,Moderate,4.0,Y,N,80,75,95,70,5,94.8,ABIBAL,PICRUB,ACEPEN,BETPAP,ABIBAL,PICRUB,NA,NA,ABIBAL,MOUN3,CYAC3,VIBLAN,90,10,15,Y,10,"mounds and valleys, young fir and spruce, ~15, semi-deep leaf litter layer mix of hardwood and softwood, chipmunks, robin, close by stream, 30% cwd, shady, not super slopped, slightly rocky, few, small-sized boulders",N
3,8/11/24,2,2. Beech,Little Moose,RW,45.46554,-69.68333,,,,,513,14,99,75,N,0,"trail about 30 ft east, stream about 40 ft e, and highway 6 3km Northeast",Y,Y,N,Mesic,Moderate,3.3,Y,N,90,85,80,70,1,98.96,FAGGRA,ACEPEN,NA,NA,VIBLAN,FAGGRA,ACEPEN,ACERUB,DRYINT,HUPLUC,NA,NA,98,60,50,Y,5,"slanted, bumpy terrain, mostly young beech, few older ones, lots of beech blight no sign of leaf disease shady, by highway 6, stream, and trail 10% cwd, no visible rocks",N
4,8/11/24,3,3. Side of north road,Little Moose,RW,45.48551,-69.67251,,,,,345,1,120,80,"Possibly, found 2 babies and one big worm",0,"20 ft away from north road, 750 m from highway 6, stream about 50 ft away",Y,Y,N,Hydric,Poor,1.7,Y,N,80,60,90,85,6,93.76,BETPAP,ACERUB,ABIBAL,ACEPEN,ABIBAL,FRAAME,NA,NA,ARANUD,PHECON,LYSBOR,TRIERE,80,15,35,Y,10,"right by side of north road close to highway 6 to greenville, stopped because I was curious i closer to highway more worms, than I found 1 maybe jumping likely no. wet set in tiny valley near muddy pit, seems early successionaly 15% cwd, hobblebush, leaf litter not super deep, elevated on north and south , center, slightly moundy",N
5,8/11/24,4,4. Side of little moose trailhead,Little Moose,RW,45.46965,-69.62630,,,,,329,9,90,70,"Possibly, found 1 worm",0,"30 ft away from trailhead, 35 ft from highway 6, ephemeral stream about 15 ft away",Y,Y,N,Hydric,Moderate,1.6,Y,N,75,80,80,70,3,96.88,ABIBAL,BETALL,FRANIG,ACERUB,PICRUB,ABIBAL,FRANIG,NA,TRIERE,EPIHEL,ATHFIL,Hieracium sp.,90,25,10,Y,15,"plot is right next to highway 6 and trailhead to little moose mt trailhead, a few boulders, 10 cwd, swallow leaf litter, shady, damp, semiflood zone, few herbs, mix of hardwoods and softwoods",N
6,8/12/24,1,1. Side of eyebrow trailhead,Mahoosuc,RW,44.58895,-70.94714,,,,,453,4,84,75,N,0.19,"side of highway 26 ~30 ft away, 50 ft away to parking lot",Y,Y,N,Mesic,Moderate,2.6,Y,N,75,70,60,60,7,92.72,ABIBAL,ACESAC,BETPOP,ACEPEN,NA,NA,NA,NA,ACESAC,ATHFIL,DENDEN,UVUSES,90,NA,25,Y,5,"Site is next to highway 26 and eyebrow trailhead, relatively flat, moist site, lots of litter and small seedlinhs, mix of young trees and medium size mix of hardwoods and softwood, ~20 cwd large lohd, breezy, cloudy day, no rain so far, shady pebbley soil, no boulders",N
7,8/12/24,2,2. Floodplain by eyebrow trailhead,Mahoosuc,RW,44.58997,-70.94583,,,,,439,2,198,70,"Possibly, found 2 juveniles",0.19,"ephemeral streams, 40 ft from road, 50 ft from trail",Y,Y,N,Hydric,Poor,1.4,Y,N,50,30,30,60,2,97.92,BETPAP,ACERUB,ABIBAL,BETALL,ACEPEN,ABIBAL,FRAAME,CORCOR,ONSE,RUBPUB,ACESAC,DRYINT,98,5,45,Y,5,"in floodplain by side of 26 and trail, lots of understory plants, ~20 cm is avg dbbh, no visible boulders very wet soil, 5 cwd, very diverse, pretty flat",N
8,8/12/24,3,3. Moose cave,Mahoosuc,RW,44.58363,-70.93600,,,,,460,9,138,70,N,0.19,"nearby highway 26 ~50 ft, hiking trail about 30 ft, stream about 60 ft away",Y,Y,N,Mesic,Well,2.5,Y,N,10,25,30,15,8,91.68,PICRUB,ABIBAL,AMEARB,SORAME,ABIBAL,SORAME,AMEARB,NA,COPTRI,CORCAN,ARANUD,DRYCAR,80,30,70,Y,35,"Trail runns near all sides of plot, rocky area with boulders and steeo drios, plot slightly slopped, cook and slightly cloudy shady, mix of hard and softwoods but mostly soft, thick humus, lots of understory, 10 cwd, in visible range of parking lot",N
9,8/12/24,4,4. Screw Auger Falls,Mahoosuc,RW,44.57152,-70.90316,,,,,330,2,82,70,N,0.19,"trail about 20 ft, parking about 20 ft, falls about 40 ft, highway about 50 ft",Y,Y,N,Mesic,Well,1.4,Y,N,80,95,75,95,5,94.8,ABIBAL,FAGGRA,PICRUB,ACESAC,ABIBAL,ACEPEN,NA,NA,ARANUD,LYSBOR,VIBLAN,CLIBOR,90,10,15,Y,5,"Site inbetween trail and parking lot by screw auger falls, slightly bumpy, slight slope a couple large boulders, lots of leaf litter, thin, 10 cwd, cool, shady, no breeze, no current rain",N
10,8/13/24,1,1. By hurricane island,Bigelow,RW,45.18461,-70.27050,,,,,369,3,84,85,"Possibly, found some juveniles",0,"flagstaff lake about 20 ft, gravel road about 60 ft",Y,Y,N,Mesic,Well,1.9,Y,N,90,90,85,98,7,92.72,POPTRE,BETPAP,ABIBAL,ACERUB,ACEPEN,ABIBAL,NA,NA,PTEAQU,CORCAN,LYSBOR,ARANUD,95,5,20,Y,10,"bumpy rocky, terrain, seem late early successional, 15 cwd, right by flagstaff shoreline, shady, mild temp, partly cloudy, no current rain, slight slope towards the lake",N
