Date,Plot,Site,Initials,Species,DBH,Notes
8/8/24,1,Colby Arboretum,RW,ACESAC,11.9,
8/11/24,1,Little Moose,RW,PICRUB,6.9,
8/11/24,1,Little Moose,RW,PICRUB,3,
8/11/24,1,Little Moose,RW,PICRUB,9.3,
8/11/24,1,Little Moose,RW,PICRUB,11.9,
8/11/24,1,Little Moose,RW,PICRUB,6.2,
8/11/24,1,Little Moose,RW,PICRUB,8.1,
8/11/24,1,Little Moose,RW,ABIBAL,10.4,
8/11/24,1,Little Moose,RW,ABIBAL,6,
8/11/24,1,Little Moose,RW,PICRUB,7.0,
8/11/24,1,Little Moose,RW,PICRUB,7.7,
8/11/24,1,Little Moose,RW,PICRUB,5.2,
8/11/24,1,Little Moose,RW,PICRUB,4.5,
8/11/24,1,Little Moose,RW,PICRUB,9.4,
8/11/24,1,Little Moose,RW,ABIBAL,4.8,
8/11/24,1,Little Moose,RW,ABIBAL,9.2,
8/11/24,1,Little Moose,RW,ABIBAL,12.3,
8/11/24,1,Little Moose,RW,ABIBAL,12.3,
8/11/24,1,Little Moose,RW,PICRUB,6.4,
8/11/24,1,Little Moose,RW,PICRUB,4.0,
8/11/24,1,Little Moose,RW,PICRUB,6.1,
8/11/24,1,Little Moose,RW,ABIBAL,3.3,
8/11/24,1,Little Moose,RW,PICRUB,5.4,
8/11/24,1,Little Moose,RW,PICRUB,7.2,
8/11/24,1,Little Moose,RW,PICRUB,4.8,
8/11/24,1,Little Moose,RW,PICRUB,6.7,
8/11/24,1,Little Moose,RW,ABIBAL,8.2,
8/11/24,1,Little Moose,RW,ABIBAL,9.2,
8/11/24,1,Little Moose,RW,PICRUB,7.8,
8/11/24,1,Little Moose,RW,ABIBAL,7.4,
8/11/24,1,Little Moose,RW,ABIBAL,9.8,
8/11/24,1,Little Moose,RW,ABIBAL,5.1,
8/11/24,1,Little Moose,RW,ABIBAL,11.4,
8/11/24,1,Little Moose,RW,ABIBAL,6.0,
8/11/24,1,Little Moose,RW,ABIBAL,6.2,
8/11/24,1,Little Moose,RW,ABIBAL,5.8,
8/11/24,1,Little Moose,RW,ACEPEN,8.5,
8/11/24,1,Little Moose,RW,ABIBAL,11.9,
8/11/24,1,Little Moose,RW,PICRUB,5.8,
8/11/24,1,Little Moose,RW,PICRUB,11.9,
8/11/24,1,Little Moose,RW,PICRUB,4.8,
8/11/24,1,Little Moose,RW,PICRUB,6.6,
8/18/24,1,Bradley,RW,ABIBAL,3.8,
8/18/24,1,Bradley,RW,TSUCAN,2.9,
8/18/24,1,Bradley,RW,ABIBAL,11.3,
8/18/24,1,Bradley,RW,TSUCAN,3.2,
8/18/24,1,Bradley,RW,TSUCAN,5.1,
8/18/24,1,Bradley,RW,TSUCAN,3.7,
8/18/24,1,Bradley,RW,TSUCAN,5.1,
8/18/24,1,Bradley,RW,TSUCAN,6.7,
8/18/24,1,Bradley,RW,TSUCAN,7.2,
8/18/24,1,Bradley,RW,ABIBAL,7.9,
8/18/24,1,Bradley,RW,ABIBAL,4.6,
8/18/24,1,Bradley,RW,ABIBAL,4.0,
8/18/24,1,Bradley,RW,ABIBAL,3.0,
8/18/24,1,Bradley,RW,ABIBAL,5.6,
8/18/24,1,Bradley,RW,ABIBAL,7.8,
8/18/24,1,Bradley,RW,ABIBAL,7.4,
8/18/24,1,Bradley,RW,ABIBAL,3.5,
8/18/24,1,Bradley,RW,ABIBAL,7.8,
8/18/24,1,Bradley,RW,ABIBAL,7.7,
8/18/24,1,Bradley,RW,TSUCAN,4.5,
8/18/24,1,Bradley,RW,TSUCAN,5.1,
8/18/24,1,Bradley,RW,TSUCAN,7.3,
8/18/24,1,Bradley,RW,ABIBAL,6.9,
8/18/24,1,Bradley,RW,POPGRA,6.4,
8/18/24,1,Bradley,RW,ABIBAL,4.9,
8/18/24,1,Bradley,RW,ABIBAL,4.3,
8/18/24,1,Bradley,RW,ABIBAL,4.9,
