ME_Lab_#,Sample_ID,Site,European Worms,Lumbricus rubellus?,Lumbricus terrestris?,Aporrectodea caliginosa?,Contamination,Plot,soil_pH,buffer_pH,OM (%),NO3-N (mg/kg),NH4-N (mg/kg),P (lb/A),K (lb/A),Mg (lb/A,Ca (lb/A,Al (mg/kg),B (mg/kg),Cu (mg/kg),Fe (mg/kg),Mn (mg/kg),Na (mg/kg),S (mg/kg),Zn (mg/kg),ECEC (me/100g),K (%),Mg (%),Ca (%),Acidity (%)
8764,COLBY 1,Colby Arboretum,N,N,N,N,N,1,4.9,5.49,7.8,0.45,25.9,6.1,213,93,585,383,0.3,0.93,102,34,19,21,3.4,4.4,6.1,8.6,33,52.4
8765,COLBY 2,Colby Arboretum,N,N,N,N,N,2,5.4,5.73,13.5,6.55,24.3,4,332,285,3368,255,0.4,0.32,25,23,18,20,8.8,11.3,3.7,10.4,74.5,11.4
8766,COLBY 3,Colby Arboretum,Y,N,Y,N,Y,3,5.2,5.74,6,0.35,13.3,3.4,248,104,1225,259,0.3,0.26,71,15,40,12,5.5,5.2,6.1,8.2,58.2,27.5
8767,COLBY 4,Colby Arboretum,Y,N,Y,N,Y,4,5,5.44,9.6,0.23,21,8.8,339,95,637,447,0.3,0.41,53,16,25,31,7.4,4.8,9,8.2,33.3,49.5
8768,COLBY 5,Colby Arboretum,N,N,N,N,N,5,5.2,5.7,8.8,0.75,16.3,8.4,243,122,959,458,0.3,0.27,21,14,15,28,2.2,4.7,6.5,10.5,50.4,32.5
8769,COLBY 6,Colby Arboretum,Y,N,Y,N,Y,6,4.5,4.88,18.6,0.12,18,14.9,267,152,381,592,0.4,0.48,157,45,24,40,5.3,6.1,5.6,10.3,15.6,68.5
8770,COLBY 7,Colby Arboretum,Y,N,Y,N,Y,7,4,4.44,20.2,< 0.10,12.7,9.3,269,124,269,571,0.5,0.52,267,17,21,30,4,7.2,4.7,7.1,9.3,78.9
8771,COLBY 8,Colby Arboretum,Y,N,Y,Y,Y,8,5.3,5.42,10.6,0.67,47,4.9,348,181,1798,296,0.3,0.14,44,12,29,15,3.1,7.8,5.8,9.5,57.4,27.4
8772,COLBY 9,Colby Arboretum,N,N,N,N,N,9,6,5.92,9.4,2.29,18.2,3.4,243,243,3443,214,0.4,0.21,27,16,98,20,1.9,9.9,3.1,10.1,86.8,0
8773,SEBOIS 1,Seboeis Lake,NA,NA,NA,NA,NA,1,4.2,4.7,31.6,< 0.10,28.1,9.1,477,227,1614,219,0.4,0.23,39,11,31,53,2.6,10.4,5.8,8.9,38.5,46.7
8774,SEBOIS 2,Seboeis Lake,NA,NA,NA,NA,NA,2,5.3,5.32,12.4,0.25,23.5,25.1,295,148,1624,578,0.3,0.37,99,22,26,19,6,7.4,5.1,8.2,54.5,32.2
8776,SEBOIS 3,Seboeis Lake,N,N,N,N,N,3,3.6,4.14,28.4,0.12,27.9,19.1,353,376,1388,52,0.4,0.12,9.1,8.8,25,16,3.5,12.3,3.7,12.7,28.2,55.4
8777,ANDRO RIV 1,Androscoggin Riverlands,NA,NA,NA,NA,NA,1,4.6,4.95,9.9,1.64,27.3,7.1,199,149,631,517,0.3,0.33,76,12,17,27,2.1,6.4,3.9,9.6,24.7,61.7
8778,ANDRO RIV 2,Androscoggin Riverlands,Y,N,Y,Y,Y,2,4.4,4.71,18.6,< 0.10,24,5.9,303,151,807,461,0.3,0.25,84,11,22,28,2.4,7.7,5.1,8.1,26.1,60.8
8779,ANDRO RIV 3,Androscoggin Riverlands,NA,NA,NA,NA,NA,3,4.2,4.45,17.3,< 0.10,17.9,5.3,199,85,142,392,0.3,0.21,41,3.8,25,43,1.6,6.5,3.9,5.4,5.4,85.3
8780,ANDRO RIV 4,Androscoggin Riverlands,NA,NA,NA,NA,NA,4,5.1,5.38,12.5,5.3,38.3,8.8,358,276,2390,263,0.3,0.24,22,32,36,20,2.4,10,4.6,11.4,59.7,24.2
8781,KEN HIGH 1,Kennebec Highlands,N,N,N,N,N,1,5.2,5.43,14.1,0.14,17.5,4.8,257,193,1398,424,0.3,0.24,63,18,22,20,5.5,6.8,4.8,11.6,51.2,32.4
