Date,Plot,Site,Initials,Species,DBH,Alive?,Crown Class,Decay Class,Notes
8/8/24,1,Colby Arboretum,RW,ACESAC,39.5,L,3,NA,sugar maple tree with holes
8/8/24,1,Colby Arboretum,RW,ACESAC,22.1,L,3,NA,
8/8/24,1,Colby Arboretum,RW,ACESAC,28.9,L,3,NA,
8/8/24,1,Colby Arboretum,RW,ACESAC,27.7,L,5,NA,
8/8/24,1,Colby Arboretum,RW,ACESAC,20.2,D,NA,4,
8/8/24,1,Colby Arboretum,RW,ACESAC,40.3,L,3,NA,
8/8/24,1,Colby Arboretum,RW,ACESAC,25.5,D,NA,4,
8/8/24,1,Colby Arboretum,RW,ACESAC,29.4,L,,NA,
8/8/24,1,Colby Arboretum,RW,ACESAC,27.1,L,,NA,
8/11/24,1,Little Moose,RW,ABIBAL,17.3,L,4,NA,
8/11/24,1,Little Moose,RW,BETPAP,30.5,L,3,NA,
8/11/24,1,Little Moose,RW,BETPAP,47.8,L,2,NA,
8/11/24,1,Little Moose,RW,PICRUB,13.4,L,4,NA,
8/11/24,1,Little Moose,RW,ACERUB,15.4,L,2,NA,
8/11/24,1,Little Moose,RW,PICRUB,13.0,L,4,NA,
8/11/24,1,Little Moose,RW,ABIBAL,21.3,L,3,NA,
8/11/24,1,Little Moose,RW,ABIBAL,23.3,D,NA,5,
8/18/24,1,Bradley,RW,PINSTR,46.1,L,2,NA,
8/18/24,1,Bradley,RW,ABIBAL,18.2,L,4,NA,
8/18/24,1,Bradley,RW,TSUCAN,16.3,L,5,NA,
8/18/24,1,Bradley,RW,TSUCAN,38.3,L,3,NA,
8/18/24,1,Bradley,RW,TSUCAN,18.0,L,3,NA,
8/18/24,1,Bradley,RW,TSUCAN,28.9,L,4,NA,
8/18/24,1,Bradley,RW,ABIBAL,14.0,L,3,NA,
8/18/24,1,Bradley,RW,ABIBAL,13.7,L,3,NA,
8/18/24,1,Bradley,RW,ABIBAL,12.8,L,4,NA,
8/18/24,1,Bradley,RW,ABIBAL,15.4,L,3,NA,
8/18/24,1,Bradley,RW,TSUCAN,16.7,L,5,NA,
8/18/24,2,Bradley,RW,POPGRA,19.1,L,3,NA,
8/18/24,2,Bradley,RW,POPGRA,21.3,L,3,NA,
8/18/24,2,Bradley,RW,POPGRA,13.5,L,3,NA,
8/18/24,2,Bradley,RW,ABIBAL,13.6,L,5,NA,
8/18/24,2,Bradley,RW,ABIBAL,14.8,L,4,NA,
8/18/24,2,Bradley,RW,ABIBAL,12.9,L,4,NA,
8/18/24,2,Bradley,RW,ABIBAL,14.1,L,4,NA,
8/18/24,2,Bradley,RW,ABIBAL,24.8,D,NA,4,would be 3 crown class probs
8/18/24,2,Bradley,RW,POPGRA,12.9,L,3,NA,
8/18/24,2,Bradley,RW,ACERUB,26.8,L,3,NA,
8/19/24,1,Sebago Lake,RW,TSUCAN,24.3,L,3,NA,
8/19/24,1,Sebago Lake,RW,TSUCAN,28.9,L,3,NA,
8/19/24,1,Sebago Lake,RW,QUERUB,19.6,L,3,NA,
8/19/24,1,Sebago Lake,RW,TSUCAN,13.8,L,5,NA,
8/19/24,1,Sebago Lake,RW,FAGGRA,14.8,L,4,NA,
8/19/24,1,Sebago Lake,RW,FRAAME,21.9,L,4,NA,
8/19/24,1,Sebago Lake,RW,FAGGRA,14.2,L,4,NA,
8/19/24,1,Sebago Lake,RW,TSUCAN,23.7,L,4,NA,
8/19/24,1,Sebago Lake,RW,TSUCAN,27.0,L,4,NA,
8/19/24,1,Sebago Lake,RW,FAGGRA,23.3,L,4,NA,
8/19/24,1,Sebago Lake,RW,QUERUB,52.2,L,2,NA,
8/19/24,1,Sebago Lake,RW,FAGGRA,13.2,L,5,NA,
8/19/24,1,Sebago Lake,RW,QUERUB,49.7,L,2,NA,
8/19/24,1,Sebago Lake,RW,FAGGRA,13.0,D,NA,1,crown class would probs be 5
8/19/24,1,Sebago Lake,RW,QUERUB,39.8,L,2,NA,
8/19/24,1,Sebago Lake,RW,ACERUB,13.0,L,4,NA,
8/19/24,2,Sebago Lake,RW,TSUCAN,12.8,L,5,NA,
8/19/24,2,Sebago Lake,RW,ACERUB,35.2,L,3,NA,
8/19/24,2,Sebago Lake,RW,ACERUB,27.0,L,3,NA,
8/19/24,2,Sebago Lake,RW,BETPOP,16.1,D,NA,4,crown class 3
8/19/24,2,Sebago Lake,RW,ACERUB,15.0,L,4,NA,
8/19/24,2,Sebago Lake,RW,QUERUB,20.7,L,3,NA,
8/19/24,2,Sebago Lake,RW,POPGRA,30.7,L,3,NA,
8/19/24,2,Sebago Lake,RW,QUERUB,36.1,L,3,NA,
8/19/24,2,Sebago Lake,RW,POPGRA,29.7,L,3,NA,
8/19/24,2,Sebago Lake,RW,POPGRA,36.1,L,3,NA,
8/19/24,2,Sebago Lake,RW,QUEALB,30.7,L,3,NA,
8/19/24,2,Sebago Lake,RW,ACERUB,23.9,L,3,NA,
8/19/24,2,Sebago Lake,RW,ACERUB,37.4,L,3,NA,
8/19/24,2,Sebago Lake,RW,PINSTR,16.4,L,5,NA,
8/19/24,2,Sebago Lake,RW,TSUCAN,15.8,L,5,NA,
8/19/24,2,Sebago Lake,RW,TSUCAN,35.4,L,3,NA,
8/19/24,2,Sebago Lake,RW,TSUCAN,20.7,L,3,NA,
8/19/24,2,Sebago Lake,RW,QUERUB,40.5,L,3,NA,
8/19/24,2,Sebago Lake,RW,PINSTR,32.00,L,3,NA,
8/19/24,3,Sebago Lake,RW,BETPAP,18.8,D,NA,5,crown class would be 3 probs
8/19/24,3,Sebago Lake,RW,PINSTR,18.0,L,4,NA,
8/19/24,3,Sebago Lake,RW,QUERUB,26.2,L,2,NA,
8/19/24,3,Sebago Lake,RW,PINSTR,15.4,L,4,NA,
8/19/24,3,Sebago Lake,RW,QUERUB,45.9,L,3,NA,
8/19/24,3,Sebago Lake,RW,QUERUB,39.8,L,3,NA,
8/19/24,3,Sebago Lake,RW,QUERUB,35.7,L,3,NA,
8/19/24,3,Sebago Lake,RW,ACERUB,18.5,L,5,NA,
8/23/24,1,Colby Hume,RW,TSUCAN,25.5,L,5,NA,
8/23/24,1,Colby Hume,RW,FRAAME,22.3,L,3,NA,
8/23/24,1,Colby Hume,RW,ACERUB,29.3,L,3,NA,
8/23/24,1,Colby Hume,RW,TSUCAN,18.1,L,5,NA,
