Sample,Which Run,Barcode,Minid,Sensitivity,Bigger database,Date of Run,Contamination,Lumbricus rubellus?,Lumbricus terrestris?,Aporrectodea caliginosa?,Species List,European Worms,Notes
Viles 2,1,1,0.99,Highest Sensitivity/Slowest,4014,3_29_25,N,Y,N,N,Lumbricus rubellus,Y,
Colby 9,1,2,0.99,Highest Sensitivity/Slowest,4014,3_29_25,N,N,N,N,NA,N,
Botanic 2,1,3,0.99,Highest Sensitivity/Slowest,4014,3_29_25,N,N,N,N,NA,N,
Moose 3,1,4,0.99,Highest Sensitivity/Slowest,4014,3_29_25,N,N,Y,N,Lumbricus terrestris,Y,
Kennebec Highlands 1,1,5,0.99,Highest Sensitivity/Slowest,4014,3_29_25,N,N,N,N,NA,N,
Sebago 1,1,6,0.99,Highest Sensitivity/Slowest,4014,3_29_25,N,N,Y,N,Lumbricus terrestris,Y,
KLT 3,1,7,0.99,Highest Sensitivity/Slowest,4014,3_29_25,N,N,Y,N,Lumbricus terrestris,Y,
Scopan 2,1,8,0.99,Highest Sensitivity/Slowest,4014,3_29_25,N,N,N,Y,Aporrectodea caliginosa,Y,
FLT 1,1,9,0.99,Highest Sensitivity/Slowest,4014,3_29_25,N,N,N,N,NA,N,
Colby 4,1,10,0.99,Highest Sensitivity/Slowest,4014,3_29_25,N,N,Y,N,Lumbricus terrestris,Y,
Botanic 3,1,11,0.99,Highest Sensitivity/Slowest,4014,3_29_25,N,N,Y,Y,"Lumbricus terrestris, Aporrectodea caliginosa",Y,
Botanic 1,1,12,0.99,Highest Sensitivity/Slowest,4014,3_29_25,N,N,N,Y,Aporrectodea caliginosa,Y,
Androscoggin Riverlands 2,2,11,0.99,Highest Sensitivity/Slowest,4014,NA,N,N,Y,Y,"Aporrectodea caliginosa, Lumbricus terrestris",Y,
Colby 1,2,12,0.99,Highest Sensitivity/Slowest,4014,NA,N,N,N,N,NA,N,In 0.95=minid lumbricus terrestris is well supported
Colby 2,2,13,0.99,Highest Sensitivity/Slowest,4014,NA,N,N,N,N,NA,N,
Bigelow 1,2,14,0.99,Highest Sensitivity/Slowest,4014,NA,N,N,Y,N,Lumbricus terrestris,Y,
Bradley 2,2,15,0.99,Highest Sensitivity/Slowest,4014,NA,N,N,Y,Y,"Lumbricus terrestris, Aporrectodea caliginosa",Y,
Viles 1,2,16,0.99,Highest Sensitivity/Slowest,4014,NA,N,N,Y,Y,"Lumbricus terrestris, Aporrectodea caliginosa",Y,
Little Moose 4,2,17,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,N,N,NA,NA,
Mahoosuc 2,2,18,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,N,N,NA,NA,
Kennebec Highlands 2,2,19,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,Y,N,Lumbricus terrestris,Y,
Colby Hume,2,20,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,N,Y,Aporrectodea caliginosa,Y,
Colby 5,2,21,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,N,N,NA,NA,could be argued that 0.95=minid have some
Bradbury 1,2,22,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,N,N,NA,NA,
Colby 7,2,23,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,Y,N,Lumbricus terrestris,Y,
Colby 8,2,24,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,Y,Y,"Lumbricus terrestris, Aporrectodea caliginosa",Y,
Sebago 2,3,9,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,Y,Y,"Lumbricus terrestris, Aporrectodea caliginosa",Y,
Colby 6,3,10,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,Y,N,Lumbricus terrestris,Y,
Kennebec Highlands 4,3,11,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,N,Y,Aporrectodea caliginosa,Y,
Viles 3,3,12,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,N,N,NA,N,
Colby 3,3,13,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,Y,N,Lumbricus terrestris,Y,
FLT 3,3,14,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,N,N,NA,N,
Sebeois 3,3,15,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,N,N,NA,N,
KLT 1,3,16,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,N,N,NA,N,
Bradbury 2,3,17,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,N,N,NA,N,
Bigelow 4,3,18,0.99,Highest Sensitivity/Slowest,4014,NA,Y,N,N,N,NA,N,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Thresholds without contamination,,,,,,,,,
