"","ke","Date","Plot","Plot_Full_Name","Site","Initials","Latitude","Longitude","Modified.Latitude","Modified.Longitude","UTM.X","UTM.Y","Elevation..m.","Slope","Aspect","Temp","Amynthas","Rain.in.last.24..in.hr.","Invasion.Mechanism","soil.collected","eDNA.collected","live.worms.collected","soil.moisture","drainage","litter.depth..cm.","Picture","worm.castings","litter.cover..1","litter.cover..2","litter.cover..3","litter.cover..4","Open.Sky","Crown.Density","dom.overstory..1","dom.overstory..2","dom.overstory..3","dom.overstory..4","dom.understory..1","dom.understory..2","dom.understory..3","dom.understory..4","dom.herbs..1","dom.herbs..2","dom.herbs..3","dom.herbs..4","Overstory...cover","Understory...Cover","Herbaceous.Layer...Cover","Moss.","Dom.Moss...Cover","Location.Notes","Fall","Detected.European","Lumbricus.rubellus.","Lumbricus.terrestris.","Aporrectodea.caliginosa.","Contamination","Temp.C","Rain.in.last.24..cm.hr.","avg.litter.cover","Plot.name","richness.quadrat","richness.saplings","richness.tree","shannon_diversity.quadrat","shannon_diversity.saplings","evenness.quadrat","evenness.saplings","evenness.tree","worm_species","shannon_diversity.tree"
"1","1","8/8/24","1","1. Sugar Bush","Colby Arboretum","RW","44.56431","-69.66093",NA,NA,NA,NA,71,4,108,72,"Possibly, sited many worms, unsure though",0,"nearby college, ~100 ft away. possibly mulch/landscapping, active sugar bush, possible by humans","Y","Y","N","Mesic","Well",-0.748015178433865,"Y","N",100,75,75,100,"2",97.92,"Acer saccharum","Quercus rubra","Fraxinus americana",NA,NA,NA,NA,NA,"Fraxinus americana","Onoclea sensibilis","Pinus strobus","Maianthemum canadense",85,0,50,"Y",3,"cool, breezy, no rain currently, not dry or humid sugar bush with spaced out trees ~5 m on average for tapping slightly slopped, mostly trees and understory, ~10 % fallen deadwood, E or hill house","N","N","N","N","N","N",22.2222222222222,0,0.381310575445235,"Colby Arboretum 1",6,1,1,0.0482449957969243,-2.0070090652321,0.911188669681059,0,NA,"No Worms Detected",-2.4678035460309
"2","5","8/11/24","4","4. Side of little moose trailhead","Little Moose","RW","45.46965","-69.6263",NA,NA,NA,NA,329,9,90,70,"Possibly, found 1 worm",0,"30 ft away from trailhead, 35 ft from highway 6, ephemeral stream about 15 ft away","Y","Y","N","Hydric","Moderate",-0.420758537869049,"Y","N",75,80,80,70,"3",96.88,"Abies balsamea","Betula alleghaniensis","Fraxinus nigra","Acer rubrum","Picea rubens","Abies balsamea","Fraxinus nigra",NA,"Trillium erectum ","Epipactis helleborine","Athyrium filix-femina","Hieracium sp.",90,25,10,"Y",15,"plot is right next to highway 6 and trailhead to little moose mt trailhead, a few boulders, 10 cwd, swallow leaf litter, shady, damp, semiflood zone, few herbs, mix of hardwoods and softwoods","N","N","N","N","N","Y",21.1111111111111,0,-0.128722678335015,"Little Moose 4",1,3,4,-2.48580898388315,-0.295792671057964,0,0.755927929263475,0.876357639489853,"No Worms Detected",0.252601478113374
"3","2","8/11/24","1","1 Balsam Fir","Little Moose","RW","45.47288","-69.68137",NA,NA,NA,NA,423,3,210,75,"N",0,"north road about 2000 ft away, stream about 30 ft south, hiking trail ~30 ft north","Y","Y","N","Mesic","Moderate",1.54278130551984,"Y","N",80,75,95,70,"5",94.8,"Abies balsamea","Picea rubens","Acer pensylvanicum","Betula papyrifera","Abies balsamea","Picea rubens",NA,NA,"Abies balsamea","Monotropa uniflora","Cypripedium acaule","Viburnum lantanoides",90,10,15,"Y",10,"mounds and valleys, young fir and spruce, ~15, semi-deep leaf litter layer mix of hardwood and softwood, chipmunks, robin, close by stream, 30% cwd, shady, not super slopped, slightly rocky, few, small-sized boulders","N",NA,NA,NA,NA,"N",23.8888888888889,0,0.0412884062584014,"Little Moose 1",7,3,4,0.227417225210475,-0.400019543569669,0.89832891276852,0.709885824840203,0.952819531114783,NA,0.489955846648487
"4","3","8/11/24","2","2. Beech","Little Moose","RW","45.46554","-69.68333",NA,NA,NA,NA,513,14,99,75,"N",0,"trail about 30 ft east, stream about 40 ft e, and highway 6 3km Northeast","Y","Y","N","Mesic","Moderate",0.970082184531417,"Y","N",90,85,80,70,"1",98.96,"Fagus grandifolia","Acer pensylvanicum",NA,NA,"Viburnum lantanoides","Fagus grandifolia","Acer pensylvanicum","Acer rubrum","Dryopteris intermedia","Huperzia lucidula",NA,NA,98,60,50,"Y",5,"slanted, bumpy terrain, mostly young beech, few older ones, lots of beech blight no sign of leaf disease shady, by highway 6, stream, and trail 10% cwd, no visible rocks","N",NA,NA,NA,NA,"N",23.8888888888889,0,0.0979587677895403,"Little Moose 2",4,2,2,-0.378052031277838,-1.66095419713162,0.979573958513622,0.242292189082415,0.721928094887362,NA,-1.34729250812534
"5","4","8/11/24","3","3. Side of north road","Little Moose","RW","45.48551","-69.67251",NA,NA,NA,NA,345,1,120,80,"Possibly, found 2 babies and one big worm",0,"20 ft away from north road, 750 m from highway 6, stream about 50 ft away","Y","Y","N","Hydric","Poor",-0.338944377727845,"Y","N",80,60,90,85,"6",93.76,"Betula papyrifera","Acer rubrum","Abies balsamea","Acer pensylvanicum","Abies balsamea","Fraxinus americana",NA,NA,"Aralia nudicaulis","Phegopteris connectilis","Lysimachia borealis","Trillium erectum ",80,15,35,"Y",10,"right by side of north road close to highway 6 to greenville, stopped because I was curious i closer to highway more worms, than I found 1 maybe jumping likely no. wet set in tiny valley near muddy pit, seems early successionaly 15% cwd, hobblebush, leaf litter not super deep, elevated on north and south , center, slightly moundy","N","Y","N","Y","N","N",26.6666666666667,0,-0.0153819552727374,"Little Moose 3",9,7,4,0.690993462937605,-0.29168151902694,0.931510849553618,0.427803359326645,0.676015050878977,"Lumbricus terrestris",-0.369305560803249
"6","7","8/12/24","2","2. Floodplain by eyebrow trailhead","Mahoosuc","RW","44.58997","-70.94583",NA,NA,NA,NA,439,2,198,70,"Possibly, found 2 juveniles",0.19,"ephemeral streams, 40 ft from road, 50 ft from trail","Y","Y","N","Hydric","Poor",-0.584386858151457,"Y","N",50,30,30,60,"2",97.92,"Betula papyrifera","Acer rubrum","Abies balsamea","Betula alleghaniensis","Acer pensylvanicum","Abies balsamea","Fraxinus americana","Corylus cornuta","Onoclea sensibilis","Rubus pubescens","Acer saccharum","Dryopteris intermedia",98,5,45,"Y",5,"in floodplain by side of 26 and trail, lots of understory plants, ~20 cm is avg dbbh, no visible boulders very wet soil, 5 cwd, very diverse, pretty flat","N","N","N","N","N","Y",21.1111111111111,0.4826,-1.65882243967576,"Mahoosuc 2",14,4,3,1.30928534594876,0.547353043806191,0.926501032475917,0.894225228654145,0.731208802620227,"No Worms Detected",-0.669004708654761
"7","6","8/12/24","1","1. Side of eyebrow trailhead","Mahoosuc","RW","44.58895","-70.94714",NA,NA,NA,NA,453,4,84,75,"N",0.19,"side of highway 26 ~30 ft away, 50 ft away to parking lot","Y","Y","N","Mesic","Moderate",0.39738306354299,"Y","N",75,70,60,60,"7",92.72,"Abies balsamea","Acer saccharum","Betula populifolia","Acer pensylvanicum",NA,NA,NA,NA,"Acer saccharum","Athyrium filix-femina","Dendrolycopodium dendroideum","Uvularia sessilifolia",90,NA,25,"Y",5,"Site is next to highway 26 and eyebrow trailhead, relatively flat, moist site, lots of litter and small seedlinhs, mix of young trees and medium size mix of hardwoods and softwood, ~20 cwd large lohd, breezy, cloudy day, no rain so far, shady pebbley soil, no boulders","N",NA,NA,NA,NA,"N",23.8888888888889,0.4826,-0.582085570584126,"Mahoosuc 1",3,2,3,-1.13923884657146,-1.74546417832383,0.789690082142847,0.183122068301373,0.905618517864896,NA,-0.239950802458617
"8","8","8/12/24","3","3. Moose cave","Mahoosuc","RW","44.58363","-70.936",NA,NA,NA,NA,460,9,138,70,"N",0.19,"nearby highway 26 ~50 ft, hiking trail about 30 ft, stream about 60 ft away","Y","Y","N","Mesic","Well",0.315568903401786,"Y","N",10,25,30,15,"8",91.68,"Picea rubens","Abies balsamea","Amelanchier arborea ","Sorbus americana","Abies balsamea","Sorbus americana","Amelanchier arborea ",NA,"Coptis trifolia","Cornus canadensis","Aralia nudicaulis","Dryopteris carthusiana",80,30,70,"Y",35,"Trail runns near all sides of plot, rocky area with boulders and steeo drios, plot slightly slopped, cook and slightly cloudy shady, mix of hard and softwoods but mostly soft, thick humus, lots of understory, 10 cwd, in visible range of parking lot","N",NA,NA,NA,NA,"N",21.1111111111111,0.4826,-2.67888894723626,"Mahoosuc 3",14,4,3,1.38016484200231,-0.0107477804018949,0.943804930763445,0.698846572130211,0.731208802620227,NA,-0.669004708654761
"9","9","8/12/24","4","4. Screw Auger Falls","Mahoosuc","RW","44.57152","-70.90316",NA,NA,NA,NA,330,2,82,70,"N",0.19,"trail about 20 ft, parking about 20 ft, falls about 40 ft, highway about 50 ft","Y","Y","N","Mesic","Well",-0.584386858151457,"Y","N",80,95,75,95,"5",94.8,"Abies balsamea","Fagus grandifolia","Picea rubens","Acer saccharum","Abies balsamea","Acer pensylvanicum",NA,NA,"Aralia nudicaulis","Lysimachia borealis","Viburnum lantanoides","Clintonia borealis",90,10,15,"Y",5,"Site inbetween trail and parking lot by screw auger falls, slightly bumpy, slight slope a couple large boulders, lots of leaf litter, thin, 10 cwd, cool, shady, no breeze, no current rain","N",NA,NA,NA,NA,"N",21.1111111111111,0.4826,0.324640213914096,"Mahoosuc 4",7,2,6,0.171195673682887,-0.62024467481338,0.879714377390429,0.970950594454669,0.960058249314534,NA,1.3840877872685
"10","13","8/13/24","4","4. Little bigelow ground pit","Bigelow","RW","45.13596","-70.172",NA,NA,NA,NA,340,9,310,70,"N",0,"boat access trail about 20 ft away, flagstaff about 40 ft away","Y","Y","N","Mesic","Well",-0.175316057445437,"Y","N",90,85,70,80,"4",95.84,"Abies balsamea","Picea mariana","Acer rubrum","Thuja occidentalis","Abies balsamea",NA,NA,NA,"Abies balsamea","Trillium erectum ","Lycopodium clavatum ","Dryopteris carthusiana",95,60,40,"Y",15,"Slopped softwood area by boat access, shady, cool, partly cloudy, 20 cwd, slightly bumpy, no visible boulders","N","N","N","N","N","Y",21.1111111111111,0,0.0979587677895403,"Bigelow 4",2,3,3,-1.7091198181213,-1.26153303270883,0.721928094887362,0.329313204045612,0.729846699162097,"No Worms Detected",-0.672355530072788
